ar;antalEFT;antalPEN;antalTILL;antalEFTprognos;antalTILLprognos;antalPENprognos;conceptidprognosyrke
2023;;;;;1,03;1,25;En1d_1Gi_bDt
2024;;;;;1,04;1,27;En1d_1Gi_bDt
2025;;;;;1,04;1,28;En1d_1Gi_bDt
2026;;;;1,69;1,04;1,29;En1d_1Gi_bDt
2015;1,00;1,00;1,00;;;;FEMT_Vnb_RyH
2016;1,15;1,30;1,03;;;;FEMT_Vnb_RyH
2017;1,22;1,40;1,05;;;;FEMT_Vnb_RyH
2018;1,28;1,70;1,07;;;1,70;FEMT_Vnb_RyH
2019;1,32;;1,08;1,32;1,08;0,99;FEMT_Vnb_RyH
2020;;;;;1,11;0,98;FEMT_Vnb_RyH
2021;;;;;1,14;0,95;FEMT_Vnb_RyH
2022;;;;1,35;1,17;0,94;FEMT_Vnb_RyH
2023;;;;;1,19;0,92;FEMT_Vnb_RyH
2024;;;;;1,21;0,90;FEMT_Vnb_RyH
2025;;;;;1,24;0,89;FEMT_Vnb_RyH
2026;;;;1,39;1,26;0,89;FEMT_Vnb_RyH
2015;1,00;1,00;1,00;;;;FTCs_tMo_2Pr
2016;1,26;1,43;1,02;;;;FTCs_tMo_2Pr
2017;1,31;1,65;1,04;;;;FTCs_tMo_2Pr
2018;1,37;1,97;1,05;;;1,97;FTCs_tMo_2Pr
2019;1,49;;1,02;1,49;1,02;1,43;FTCs_tMo_2Pr
2020;;;;;1,02;1,27;FTCs_tMo_2Pr
2021;;;;;1,03;1,15;FTCs_tMo_2Pr
2022;;;;1,85;1,04;1,09;FTCs_tMo_2Pr
2023;;;;;1,04;1,05;FTCs_tMo_2Pr
2024;;;;;1,05;1,03;FTCs_tMo_2Pr
2025;;;;;1,06;1,01;FTCs_tMo_2Pr
2026;;;;2,05;1,07;1,00;FTCs_tMo_2Pr
2015;1,00;1,00;1,00;;;;Ffqb_8Mq_Yth
2016;1,31;1,30;1,01;;;;Ffqb_8Mq_Yth
2017;1,40;1,18;1,02;;;;Ffqb_8Mq_Yth
2018;1,48;1,52;1,03;;;1,52;Ffqb_8Mq_Yth
2019;1,50;;1,00;1,50;1,00;0,95;Ffqb_8Mq_Yth
2020;;;;;1,01;0,95;Ffqb_8Mq_Yth
2021;;;;;1,02;0,94;Ffqb_8Mq_Yth
2022;;;;1,59;1,04;0,94;Ffqb_8Mq_Yth
2023;;;;;1,05;0,96;Ffqb_8Mq_Yth
2024;;;;;1,06;0,99;Ffqb_8Mq_Yth
2025;;;;;1,07;1,03;Ffqb_8Mq_Yth
2026;;;;1,72;1,09;1,07;Ffqb_8Mq_Yth
2015;1,00;1,00;1,00;;;;GMJ4_pEJ_BX1
2016;1,39;1,41;1,02;;;;GMJ4_pEJ_BX1
2017;1,56;1,60;1,03;;;;GMJ4_pEJ_BX1
2018;1,71;1,97;1,04;;;1,97;GMJ4_pEJ_BX1
2019;1,75;;1,01;1,75;1,01;1,30;GMJ4_pEJ_BX1
2020;;;;;1,02;1,34;GMJ4_pEJ_BX1
2021;;;;;1,03;1,37;GMJ4_pEJ_BX1
2022;;;;1,83;1,05;1,39;GMJ4_pEJ_BX1
2023;;;;;1,06;1,41;GMJ4_pEJ_BX1
2024;;;;;1,08;1,46;GMJ4_pEJ_BX1
2025;;;;;1,09;1,50;GMJ4_pEJ_BX1
2026;;;;1,87;1,11;1,55;GMJ4_pEJ_BX1
2015;1,00;1,00;1,00;;;;GNqK_MvC_jPi
2016;1,16;1,50;1,02;;;;GNqK_MvC_jPi
2017;1,16;1,63;1,03;;;;GNqK_MvC_jPi
2018;1,20;1,98;1,05;;;1,98;GNqK_MvC_jPi
2019;1,18;;1,05;1,18;1,05;1,07;GNqK_MvC_jPi
2020;;;;;1,08;0,98;GNqK_MvC_jPi
2021;;;;;1,11;0,94;GNqK_MvC_jPi
2022;;;;1,26;1,14;0,92;GNqK_MvC_jPi
2023;;;;;1,16;0,91;GNqK_MvC_jPi
2024;;;;;1,19;0,91;GNqK_MvC_jPi
2025;;;;;1,21;0,91;GNqK_MvC_jPi
2026;;;;1,37;1,23;0,91;GNqK_MvC_jPi
2015;1,00;1,00;1,00;;;;GWv6_oua_bkS
2016;1,13;1,33;1,02;;;;GWv6_oua_bkS
2017;1,15;1,40;1,03;;;;GWv6_oua_bkS
2018;1,13;1,63;1,03;;;1,63;GWv6_oua_bkS
2019;1,12;;1,01;1,12;1,01;1,12;GWv6_oua_bkS
2020;;;;;1,03;1,09;GWv6_oua_bkS
2021;;;;;1,06;1,09;GWv6_oua_bkS
2022;;;;1,14;1,08;1,09;GWv6_oua_bkS
2023;;;;;1,10;1,09;GWv6_oua_bkS
2024;;;;;1,12;1,10;GWv6_oua_bkS
2025;;;;;1,14;1,10;GWv6_oua_bkS
2026;;;;1,17;1,16;1,11;GWv6_oua_bkS
;;;;;;;GWv6_oua_bkS
2015;1,00;1,00;1,00;;;;GZZi_XH9_9uE
2016;1,23;1,36;1,02;;;;GZZi_XH9_9uE
2017;1,32;1,70;1,04;;;;GZZi_XH9_9uE
2018;1,43;2,02;1,05;;;2,02;GZZi_XH9_9uE
2019;1,46;;1,04;1,46;1,04;1,15;GZZi_XH9_9uE
2020;;;;;1,06;1,16;GZZi_XH9_9uE
2021;;;;;1,07;1,15;GZZi_XH9_9uE
2022;;;;1,38;1,08;1,20;GZZi_XH9_9uE
2023;;;;;1,10;1,18;GZZi_XH9_9uE
2024;;;;;1,11;1,20;GZZi_XH9_9uE
2025;;;;;1,12;1,23;GZZi_XH9_9uE
2026;;;;1,48;1,13;1,32;GZZi_XH9_9uE
2015;1,00;1,00;1,00;;;;GiLv_4So_VMn
2016;1,28;1,20;1,02;;;;GiLv_4So_VMn
2017;1,18;1,13;1,03;;;;GiLv_4So_VMn
2018;1,22;1,17;1,03;;;1,17;GiLv_4So_VMn
2019;1,27;;1,01;1,27;1,01;0,85;GiLv_4So_VMn
2020;;;;;1,02;0,79;GiLv_4So_VMn
2021;;;;;1,04;0,75;GiLv_4So_VMn
2022;;;;1,30;1,06;0,72;GiLv_4So_VMn
2023;;;;;1,08;0,70;GiLv_4So_VMn
2024;;;;;1,10;0,66;GiLv_4So_VMn
2025;;;;;1,12;0,65;GiLv_4So_VMn
2026;;;;1,32;1,14;0,64;GiLv_4So_VMn
2015;1,00;1,00;1,00;;;;HJq2_uDd_kHz
2016;1,22;1,34;1,02;;;;HJq2_uDd_kHz
2017;1,33;1,22;1,03;;;;HJq2_uDd_kHz
2018;1,47;1,78;1,04;;;1,78;HJq2_uDd_kHz
2019;1,60;;1,02;1,60;1,02;1,38;HJq2_uDd_kHz
2020;;;;;1,02;1,50;HJq2_uDd_kHz
2021;;;;;1,02;1,43;HJq2_uDd_kHz
2022;;;;1,67;1,03;1,57;HJq2_uDd_kHz
2023;;;;;1,03;1,64;HJq2_uDd_kHz
2024;;;;;1,04;1,74;HJq2_uDd_kHz
2025;;;;;1,04;1,82;HJq2_uDd_kHz
2026;;;;1,85;1,04;1,89;HJq2_uDd_kHz
2015;1,00;1,00;1,00;;;;HW7M_D44_Mc8
2016;1,18;1,26;1,03;;;;HW7M_D44_Mc8
2017;1,19;1,69;1,06;;;;HW7M_D44_Mc8
2018;1,20;1,76;1,09;;;1,76;HW7M_D44_Mc8
2019;1,20;;1,11;1,20;1,11;1,34;HW7M_D44_Mc8
2020;;;;;1,14;1,13;HW7M_D44_Mc8
2021;;;;;1,17;1,02;HW7M_D44_Mc8
2022;;;;1,23;1,20;0,94;HW7M_D44_Mc8
2023;;;;;1,23;0,88;HW7M_D44_Mc8
2024;;;;;1,25;0,88;HW7M_D44_Mc8
2025;;;;;1,28;0,90;HW7M_D44_Mc8
2026;;;;1,27;1,30;0,92;HW7M_D44_Mc8
2015;1,00;1,00;1,00;;;;HqMb_sub_xja
2016;1,27;1,36;1,01;;;;HqMb_sub_xja
2017;1,24;1,17;1,02;;;;HqMb_sub_xja
2018;1,24;1,39;1,03;;;1,39;HqMb_sub_xja
2019;1,17;;1,01;1,17;1,01;0,72;HqMb_sub_xja
2020;;;;;1,00;0,70;HqMb_sub_xja
2021;;;;;1,00;0,67;HqMb_sub_xja
2022;;;;1,21;1,00;0,65;HqMb_sub_xja
2023;;;;;1,00;0,64;HqMb_sub_xja
2024;;;;;1,00;0,63;HqMb_sub_xja
2025;;;;;1,00;0,62;HqMb_sub_xja
2026;;;;1,26;1,00;0,61;HqMb_sub_xja
2015;1,00;1,00;1,00;;;;JPjb_g3k_HrX
2016;1,11;1,47;1,02;;;;JPjb_g3k_HrX
2017;1,34;1,36;1,04;;;;JPjb_g3k_HrX
2018;1,23;1,83;1,07;;;1,83;JPjb_g3k_HrX
2019;0,92;;1,08;0,92;1,08;0,78;JPjb_g3k_HrX
2020;;;;;1,09;0,79;JPjb_g3k_HrX
2021;;;;;1,11;0,80;JPjb_g3k_HrX
2022;;;;0,97;1,12;0,81;JPjb_g3k_HrX
2023;;;;;1,14;0,83;JPjb_g3k_HrX
2024;;;;;1,15;0,85;JPjb_g3k_HrX
2025;;;;;1,16;0,89;JPjb_g3k_HrX
2026;;;;1,08;1,17;0,93;JPjb_g3k_HrX
2015;1,00;1,00;1,00;;;;KkZg_TxT_joU
2016;1,39;1,06;1,02;;;;KkZg_TxT_joU
2017;1,43;1,16;1,03;;;;KkZg_TxT_joU
2018;1,42;1,08;1,03;;;1,08;KkZg_TxT_joU
2019;1,42;;1,00;1,42;1,00;0,60;KkZg_TxT_joU
2020;;;;;1,01;0,52;KkZg_TxT_joU
2021;;;;;1,02;0,46;KkZg_TxT_joU
2022;;;;1,45;1,03;0,41;KkZg_TxT_joU
2023;;;;;1,04;0,38;KkZg_TxT_joU
2024;;;;;1,05;0,35;KkZg_TxT_joU
2025;;;;;1,06;0,33;KkZg_TxT_joU
2026;;;;1,47;1,07;0,31;KkZg_TxT_joU
2015;1,00;1,00;1,00;;;;L6QF_64t_1KJ
2016;1,14;1,14;1,01;;;;L6QF_64t_1KJ
2017;1,33;1,19;1,02;;;;L6QF_64t_1KJ
2018;1,49;1,65;1,02;;;1,65;L6QF_64t_1KJ
2019;1,27;;0,99;1,27;0,99;0,90;L6QF_64t_1KJ
2020;;;;;0,99;0,98;L6QF_64t_1KJ
2021;;;;;1,00;1,04;L6QF_64t_1KJ
2022;;;;1,30;1,01;1,09;L6QF_64t_1KJ
2023;;;;;1,02;1,13;L6QF_64t_1KJ
2024;;;;;1,03;1,18;L6QF_64t_1KJ
2025;;;;;1,04;1,22;L6QF_64t_1KJ
2026;;;;1,28;1,05;1,27;L6QF_64t_1KJ
2015;1,00;1,00;1,00;;;;LzqJ_TN3_sg4
2016;1,12;1,54;1,03;;;;LzqJ_TN3_sg4
2017;1,13;1,68;1,07;;;;LzqJ_TN3_sg4
2018;1,15;2,05;1,10;;;2,05;LzqJ_TN3_sg4
2019;1,14;;1,12;1,14;1,12;1,54;LzqJ_TN3_sg4
2020;;;;;1,16;1,37;LzqJ_TN3_sg4
2021;;;;;1,20;1,27;LzqJ_TN3_sg4
2022;;;;1,17;1,24;1,19;LzqJ_TN3_sg4
2023;;;;;1,27;1,14;LzqJ_TN3_sg4
2024;;;;;1,31;1,11;LzqJ_TN3_sg4
2025;;;;;1,34;1,09;LzqJ_TN3_sg4
2026;;;;1,20;1,37;1,10;LzqJ_TN3_sg4
2015;1,00;1,00;1,00;;;;MKSQ_gEQ_m1j
2016;1,17;1,30;1,01;;;;MKSQ_gEQ_m1j
2017;1,18;1,19;1,02;;;;MKSQ_gEQ_m1j
2018;1,23;1,59;1,02;;;1,59;MKSQ_gEQ_m1j
2019;1,24;;1,00;1,24;1,00;0,95;MKSQ_gEQ_m1j
2020;;;;;1,00;1,03;MKSQ_gEQ_m1j
2021;;;;;1,00;1,09;MKSQ_gEQ_m1j
2022;;;;1,21;1,01;1,14;MKSQ_gEQ_m1j
2023;;;;;1,01;1,19;MKSQ_gEQ_m1j
2024;;;;;1,01;1,23;MKSQ_gEQ_m1j
2025;;;;;1,02;1,27;MKSQ_gEQ_m1j
2026;;;;1,20;1,02;1,32;MKSQ_gEQ_m1j
2015;1,00;1,00;1,00;;;;MgRC_h2W_c6j
2016;1,24;1,30;1,03;;;;MgRC_h2W_c6j
2017;1,40;1,26;1,06;;;;MgRC_h2W_c6j
2018;1,59;2,00;1,09;;;2,00;MgRC_h2W_c6j
2019;1,64;;1,10;1,64;1,10;1,20;MgRC_h2W_c6j
2020;;;;;1,09;1,21;MgRC_h2W_c6j
2021;;;;;1,10;1,23;MgRC_h2W_c6j
2022;;;;1,74;1,11;1,23;MgRC_h2W_c6j
2023;;;;;1,13;1,29;MgRC_h2W_c6j
2024;;;;;1,14;1,33;MgRC_h2W_c6j
2025;;;;;1,14;1,37;MgRC_h2W_c6j
2026;;;;1,95;1,15;1,40;MgRC_h2W_c6j
2015;1,00;1,00;1,00;;;;PGAK_wkQ_dLR
2016;1,27;1,24;1,03;;;;PGAK_wkQ_dLR
2017;1,29;1,14;1,05;;;;PGAK_wkQ_dLR
2018;1,18;1,34;1,05;;;1,34;PGAK_wkQ_dLR
2019;1,03;;1,01;1,03;1,01;0,72;PGAK_wkQ_dLR
2020;;;;;1,01;0,71;PGAK_wkQ_dLR
2021;;;;;1,01;0,72;PGAK_wkQ_dLR
2022;;;;1,01;1,02;0,72;PGAK_wkQ_dLR
2023;;;;;1,03;0,72;PGAK_wkQ_dLR
2024;;;;;1,05;0,72;PGAK_wkQ_dLR
2025;;;;;1,06;0,75;PGAK_wkQ_dLR
2026;;;;1,00;1,07;0,75;PGAK_wkQ_dLR
2015;1,00;1,00;1,00;;;;PrsF_Zzs_oDm
2016;1,28;1,30;1,02;;;;PrsF_Zzs_oDm
2017;1,32;1,18;1,03;;;;PrsF_Zzs_oDm
2018;1,38;1,44;1,04;;;1,44;PrsF_Zzs_oDm
2019;1,41;;1,02;1,41;1,02;0,87;PrsF_Zzs_oDm
2020;;;;;1,03;0,92;PrsF_Zzs_oDm
2021;;;;;1,03;0,94;PrsF_Zzs_oDm
2022;;;;1,50;1,04;0,96;PrsF_Zzs_oDm
2023;;;;;1,05;0,98;PrsF_Zzs_oDm
2024;;;;;1,06;1,00;PrsF_Zzs_oDm
2025;;;;;1,07;1,00;PrsF_Zzs_oDm
2026;;;;1,62;1,08;1,01;PrsF_Zzs_oDm
2015;1,00;1,00;1,00;;;;PxkD_cnW_vHR
2016;1,27;1,30;1,01;;;;PxkD_cnW_vHR
2017;1,47;1,50;1,03;;;;PxkD_cnW_vHR
2018;1,61;1,66;1,04;;;1,66;PxkD_cnW_vHR
2019;1,67;;1,02;1,67;1,02;0,99;PxkD_cnW_vHR
2020;;;;;1,03;0,95;PxkD_cnW_vHR
2021;;;;;1,03;0,93;PxkD_cnW_vHR
2022;;;;1,77;1,04;0,90;PxkD_cnW_vHR
2023;;;;;1,04;0,87;PxkD_cnW_vHR
2024;;;;;1,05;0,88;PxkD_cnW_vHR
2025;;;;;1,05;0,88;PxkD_cnW_vHR
2026;;;;1,96;1,05;0,90;PxkD_cnW_vHR
2015;1,00;1,00;1,00;;;;Py3S_F4Y_QSt
2016;1,21;1,19;1,03;;;;Py3S_F4Y_QSt
2017;1,34;1,22;1,05;;;;Py3S_F4Y_QSt
2018;1,36;1,52;1,04;;;1,52;Py3S_F4Y_QSt
2019;1,39;;0,99;1,39;0,99;1,02;Py3S_F4Y_QSt
2020;;;;;1,03;1,06;Py3S_F4Y_QSt
2021;;;;;1,08;1,11;Py3S_F4Y_QSt
2022;;;;1,36;1,12;1,15;Py3S_F4Y_QSt
2023;;;;;1,16;1,20;Py3S_F4Y_QSt
2024;;;;;1,21;1,24;Py3S_F4Y_QSt
2025;;;;;1,25;1,28;Py3S_F4Y_QSt
2026;;;;1,34;1,29;1,33;Py3S_F4Y_QSt
2015;1,00;1,00;1,00;;;;Q5mT_Q8b_3nq
2016;1,24;1,12;1,02;;;;Q5mT_Q8b_3nq
2017;1,34;1,01;1,04;;;;Q5mT_Q8b_3nq
2018;1,39;1,17;1,06;;;1,17;Q5mT_Q8b_3nq
2019;1,32;;1,05;1,32;1,05;0,70;Q5mT_Q8b_3nq
2020;;;;;1,05;0,65;Q5mT_Q8b_3nq
2021;;;;;1,06;0,61;Q5mT_Q8b_3nq
2022;;;;1,40;1,07;0,60;Q5mT_Q8b_3nq
2023;;;;;1,08;0,60;Q5mT_Q8b_3nq
2024;;;;;1,08;0,61;Q5mT_Q8b_3nq
2025;;;;;1,09;0,63;Q5mT_Q8b_3nq
2026;;;;1,52;1,10;0,64;Q5mT_Q8b_3nq
2015;1,00;1,00;1,00;;;;QHvc_BH7_Sp8
2016;1,41;1,59;1,02;;;;QHvc_BH7_Sp8
2017;1,35;1,88;1,04;;;;QHvc_BH7_Sp8
2018;1,17;1,87;1,06;;;1,87;QHvc_BH7_Sp8
2019;1,07;;1,06;1,07;1,06;1,32;QHvc_BH7_Sp8
2020;;;;;1,08;1,25;QHvc_BH7_Sp8
2021;;;;;1,11;1,22;QHvc_BH7_Sp8
2022;;;;1,09;1,13;1,19;QHvc_BH7_Sp8
2023;;;;;1,15;1,20;QHvc_BH7_Sp8
2024;;;;;1,17;1,21;QHvc_BH7_Sp8
2025;;;;;1,19;1,22;QHvc_BH7_Sp8
2026;;;;1,12;1,21;1,25;QHvc_BH7_Sp8
2015;1,00;1,00;1,00;;;;QQti_mfk_g16
2016;1,11;1,08;1,03;;;;QQti_mfk_g16
2017;1,09;1,06;1,04;;;;QQti_mfk_g16
2018;1,10;1,26;1,06;;;1,26;QQti_mfk_g16
2019;1,07;;1,05;1,07;1,05;0,65;QQti_mfk_g16
2020;;;;;1,09;0,63;QQti_mfk_g16
2021;;;;;1,12;0,62;QQti_mfk_g16
2022;;;;1,11;1,14;0,63;QQti_mfk_g16
2023;;;;;1,17;0,63;QQti_mfk_g16
2024;;;;;1,19;0,64;QQti_mfk_g16
2025;;;;;1,21;0,64;QQti_mfk_g16
2026;;;;1,15;1,23;0,63;QQti_mfk_g16
2015;1,00;1,00;1,00;;;;QmjT_Yv9_HKV
2016;1,14;1,44;1,03;;;;QmjT_Yv9_HKV
2017;1,19;1,58;1,05;;;;QmjT_Yv9_HKV
2018;1,18;1,82;1,09;;;1,82;QmjT_Yv9_HKV
2019;1,21;;1,10;1,21;1,10;1,39;QmjT_Yv9_HKV
2020;;;;;1,13;1,27;QmjT_Yv9_HKV
2021;;;;;1,16;1,20;QmjT_Yv9_HKV
2022;;;;1,24;1,18;1,13;QmjT_Yv9_HKV
2023;;;;;1,21;1,07;QmjT_Yv9_HKV
2024;;;;;1,23;1,03;QmjT_Yv9_HKV
2025;;;;;1,26;1,01;QmjT_Yv9_HKV
2026;;;;1,28;1,28;0,99;QmjT_Yv9_HKV
2015;1,00;1,00;1,00;;;;QqEt_kyc_L55
2016;1,25;1,37;1,01;;;;QqEt_kyc_L55
2017;1,31;1,32;1,02;;;;QqEt_kyc_L55
2018;1,28;1,54;1,02;;;1,54;QqEt_kyc_L55
2019;1,24;;1,00;1,24;1,00;1,13;QqEt_kyc_L55
2020;;;;;1,00;1,17;QqEt_kyc_L55
2021;;;;;1,00;1,20;QqEt_kyc_L55
2022;;;;1,27;1,00;1,24;QqEt_kyc_L55
2023;;;;;1,00;1,24;QqEt_kyc_L55
2024;;;;;1,00;1,28;QqEt_kyc_L55
2025;;;;;1,01;1,32;QqEt_kyc_L55
2026;;;;1,25;1,01;1,38;QqEt_kyc_L55
2015;1,00;1,00;1,00;;;;Riv5_aAZ_zLy
2016;1,22;1,23;1,01;;;;Riv5_aAZ_zLy
2017;1,28;1,27;1,02;;;;Riv5_aAZ_zLy
2018;1,30;1,62;1,03;;;1,62;Riv5_aAZ_zLy
2019;1,27;;1,01;1,27;1,01;0,96;Riv5_aAZ_zLy
2020;;;;;1,01;0,99;Riv5_aAZ_zLy
2021;;;;;1,01;1,02;Riv5_aAZ_zLy
2022;;;;1,25;1,02;1,05;Riv5_aAZ_zLy
2023;;;;;1,02;1,09;Riv5_aAZ_zLy
2024;;;;;1,03;1,14;Riv5_aAZ_zLy
2025;;;;;1,03;1,20;Riv5_aAZ_zLy
2026;;;;1,23;1,04;1,27;Riv5_aAZ_zLy
2015;1,00;1,00;1,00;;;;Rs92_7cd_uYU
2016;1,14;1,88;1,03;;;;Rs92_7cd_uYU
2017;1,18;1,96;1,06;;;;Rs92_7cd_uYU
2018;1,26;2,21;1,09;;;2,21;Rs92_7cd_uYU
2019;1,26;;1,11;1,26;1,11;1,57;Rs92_7cd_uYU
2020;;;;;1,13;1,09;Rs92_7cd_uYU
2021;;;;;1,15;0,85;Rs92_7cd_uYU
2022;;;;1,29;1,17;0,72;Rs92_7cd_uYU
2023;;;;;1,19;0,65;Rs92_7cd_uYU
2024;;;;;1,21;0,61;Rs92_7cd_uYU
2025;;;;;1,23;0,58;Rs92_7cd_uYU
2026;;;;1,33;1,25;0,56;Rs92_7cd_uYU
2015;1,00;1,00;1,00;;;;RyZZ_pTw_AvW
2016;1,12;1,28;1,02;;;;RyZZ_pTw_AvW
2017;1,45;1,42;1,04;;;;RyZZ_pTw_AvW
2018;1,38;1,88;1,07;;;1,88;RyZZ_pTw_AvW
2019;1,23;;1,08;1,23;1,08;1,06;RyZZ_pTw_AvW
2020;;;;;1,11;1,04;RyZZ_pTw_AvW
2021;;;;;1,13;1,04;RyZZ_pTw_AvW
2022;;;;1,30;1,16;1,05;RyZZ_pTw_AvW
2023;;;;;1,18;1,07;RyZZ_pTw_AvW
2024;;;;;1,19;1,11;RyZZ_pTw_AvW
2025;;;;;1,21;1,14;RyZZ_pTw_AvW
2026;;;;1,45;1,23;1,19;RyZZ_pTw_AvW
2015;1,00;1,00;1,00;;;;Ss2u_ULt_5PK
2016;1,20;1,13;1,01;;;;Ss2u_ULt_5PK
2017;1,22;1,15;1,02;;;;Ss2u_ULt_5PK
2018;1,28;1,28;1,02;;;1,28;Ss2u_ULt_5PK
2019;1,31;;1,01;1,31;1,01;0,79;Ss2u_ULt_5PK
2020;;;;;1,02;0,79;Ss2u_ULt_5PK
2021;;;;;1,04;0,80;Ss2u_ULt_5PK
2022;;;;1,35;1,05;0,81;Ss2u_ULt_5PK
2023;;;;;1,06;0,81;Ss2u_ULt_5PK
2024;;;;;1,08;0,82;Ss2u_ULt_5PK
2025;;;;;1,09;0,83;Ss2u_ULt_5PK
2026;;;;1,40;1,10;0,84;Ss2u_ULt_5PK
2015;1,00;1,00;1,00;;;;Svnq_iQA_9U5
2016;1,16;1,45;1,00;;;;Svnq_iQA_9U5
2017;1,17;1,40;1,00;;;;Svnq_iQA_9U5
2018;1,21;2,01;0,99;;;2,01;Svnq_iQA_9U5
2019;1,27;;0,95;1,27;0,95;1,07;Svnq_iQA_9U5
2020;;;;;0,96;1,10;Svnq_iQA_9U5
2021;;;;;0,97;1,10;Svnq_iQA_9U5
2022;;;;1,32;0,97;1,10;Svnq_iQA_9U5
2023;;;;;0,98;1,11;Svnq_iQA_9U5
2024;;;;;0,99;1,11;Svnq_iQA_9U5
2025;;;;;0,99;1,16;Svnq_iQA_9U5
2026;;;;1,42;1,00;1,20;Svnq_iQA_9U5
2015;1,00;1,00;1,00;;;;SyvN_uBW_USt
2016;1,35;1,51;1,02;;;;SyvN_uBW_USt
2017;1,35;1,11;1,04;;;;SyvN_uBW_USt
2018;1,50;1,23;1,06;;;1,23;SyvN_uBW_USt
2019;1,30;;1,05;1,30;1,05;0,94;SyvN_uBW_USt
2020;;;;;1,06;0,98;SyvN_uBW_USt
2021;;;;;1,07;1,03;SyvN_uBW_USt
2022;;;;1,36;1,08;1,08;SyvN_uBW_USt
2023;;;;;1,09;1,14;SyvN_uBW_USt
2024;;;;;1,10;1,18;SyvN_uBW_USt
2025;;;;;1,11;1,31;SyvN_uBW_USt
2026;;;;1,39;1,12;1,37;SyvN_uBW_USt
2015;1,00;1,00;1,00;;;;T4Ws_RzG_WYF
2016;1,21;1,23;1,04;;;;T4Ws_RzG_WYF
2017;1,21;1,25;1,07;;;;T4Ws_RzG_WYF
2018;1,25;1,64;1,10;;;1,64;T4Ws_RzG_WYF
2019;1,20;;1,11;1,20;1,11;0,94;T4Ws_RzG_WYF
2020;;;;;1,13;0,94;T4Ws_RzG_WYF
2021;;;;;1,15;0,95;T4Ws_RzG_WYF
2022;;;;1,13;1,17;0,98;T4Ws_RzG_WYF
2023;;;;;1,19;1,00;T4Ws_RzG_WYF
2024;;;;;1,20;1,05;T4Ws_RzG_WYF
2025;;;;;1,21;1,10;T4Ws_RzG_WYF
2026;;;;1,21;1,22;1,18;T4Ws_RzG_WYF
2015;1,00;1,00;1,00;;;;T7Se_47C_Dhc
2016;1,08;1,27;1,02;;;;T7Se_47C_Dhc
2017;1,09;1,22;1,02;;;;T7Se_47C_Dhc
2018;1,12;1,55;1,04;;;1,55;T7Se_47C_Dhc
2019;1,11;;1,04;1,11;1,04;0,86;T7Se_47C_Dhc
2020;;;;;1,05;0,80;T7Se_47C_Dhc
2021;;;;;1,06;0,76;T7Se_47C_Dhc
2022;;;;1,16;1,08;0,73;T7Se_47C_Dhc
2023;;;;;1,09;0,69;T7Se_47C_Dhc
2024;;;;;1,11;0,66;T7Se_47C_Dhc
2025;;;;;1,12;0,63;T7Se_47C_Dhc
2026;;;;1,19;1,13;0,61;T7Se_47C_Dhc
2015;1,00;1,00;1,00;;;;TQaX_tMT_Pfw
2016;1,28;1,65;1,04;;;;TQaX_tMT_Pfw
2017;1,35;1,86;1,07;;;;TQaX_tMT_Pfw
2018;1,41;2,34;1,10;;;2,34;TQaX_tMT_Pfw
2019;1,41;;1,11;1,41;1,11;1,60;TQaX_tMT_Pfw
2020;;;;;1,18;1,35;TQaX_tMT_Pfw
2021;;;;;1,24;1,18;TQaX_tMT_Pfw
2022;;;;1,45;1,30;1,03;TQaX_tMT_Pfw
2023;;;;;1,35;0,92;TQaX_tMT_Pfw
2024;;;;;1,39;0,82;TQaX_tMT_Pfw
2025;;;;;1,44;0,75;TQaX_tMT_Pfw
2026;;;;1,49;1,48;0,69;TQaX_tMT_Pfw
2015;1,00;1,00;1,00;;;;TgyQ_cnb_2EY
2016;1,12;1,33;1,02;;;;TgyQ_cnb_2EY
2017;1,18;1,59;1,03;;;;TgyQ_cnb_2EY
2018;1,22;1,99;1,05;;;1,99;TgyQ_cnb_2EY
2019;1,24;;1,05;1,24;1,05;1,66;TgyQ_cnb_2EY
2020;;;;;1,05;1,33;TgyQ_cnb_2EY
2021;;;;;1,05;1,15;TgyQ_cnb_2EY
2022;;;;1,25;1,05;1,02;TgyQ_cnb_2EY
2023;;;;;1,05;0,94;TgyQ_cnb_2EY
